method,tick,sample_id,label,class_sample_index,same_mean,different_mean,same_minus_different
edge_cosine,1,class505-coffeepot-sample01-src01487,505,1,0.46775787625496973,0.24330178472380487,0.22445609153116486
edge_cosine,1,class505-coffeepot-sample02-src02782,505,2,0.43750557066977863,0.23239830711880752,0.20510726355097111
edge_cosine,1,class505-coffeepot-sample03-src05563,505,3,0.3678428719116298,0.26114735948748546,0.10669551242414432
edge_cosine,1,class505-coffeepot-sample04-src05824,505,4,0.46276586353399857,0.26065223643905056,0.202113627094948
edge_cosine,1,class817-sports_car-sample00-src00019,817,0,0.449070134682371,0.1522294145492643,0.2968407201331067
edge_cosine,1,class817-sports_car-sample01-src00787,817,1,0.28992275470285844,0.3431112077962385,-0.05318845309338005
edge_cosine,1,class817-sports_car-sample02-src02853,817,2,0.4056474031056124,0.1281400418639288,0.2775073612416836
edge_cosine,1,class817-sports_car-sample03-src04513,817,3,0.40095692528060983,0.2774761876660202,0.12348073761458961
edge_cosine,1,class817-sports_car-sample04-src04549,817,4,0.43203874349297416,0.3016769255416489,0.1303618179513253
edge_cosine,1,class980-volcano-sample00-src00002,980,0,0.4177032894301542,0.2689570230795582,0.148746266350596
edge_cosine,1,class980-volcano-sample01-src00863,980,1,0.3818529071564093,0.30441190359483195,0.07744100356157735
edge_cosine,1,class980-volcano-sample02-src01265,980,2,0.41749339032196414,0.26294634375684767,0.15454704656511647
edge_cosine,1,class980-volcano-sample03-src01422,980,3,0.4667913470928652,0.33044929911404664,0.13634204797881855
edge_cosine,1,class980-volcano-sample04-src01813,980,4,0.0,0.054037634436369074,-0.054037634436369074
degree_strength_cosine,1,class091-coucal-sample00-src00000,91,0,0.4038737852086983,0.5998633313147634,-0.19598954610606512
degree_strength_cosine,1,class091-coucal-sample01-src00316,91,1,0.40441878539456644,0.6351774622059777,-0.23075867681141127
degree_strength_cosine,1,class091-coucal-sample02-src01583,91,2,0.4869286109582832,0.5809936093613289,-0.09406499840304572
degree_strength_cosine,1,class091-coucal-sample03-src01629,91,3,0.1690076671421311,0.10930595893439618,0.05970170820773493
degree_strength_cosine,1,class091-coucal-sample04-src03448,91,4,0.15289455450207587,0.10538406143234473,0.04751049306973114
degree_strength_cosine,1,class171-Italian_greyhound-sample00-src00001,171,0,0.10001941122651006,0.112379063581225,-0.012359652354714937
degree_strength_cosine,1,class171-Italian_greyhound-sample01-src02164,171,1,0.41988589452360603,0.4739934821379671,-0.054107587614361075
degree_strength_cosine,1,class171-Italian_greyhound-sample02-src02599,171,2,0.3903900426950274,0.4663450858380952,-0.07595504314306778
degree_strength_cosine,1,class171-Italian_greyhound-sample03-src02775,171,3,0.06828429965774657,0.0805775351010902,-0.012293235443343625
degree_strength_cosine,1,class171-Italian_greyhound-sample04-src03793,171,4,0.34816718460901475,0.6129687316712255,-0.2648015470622107
degree_strength_cosine,1,class505-coffeepot-sample00-src00013,505,0,0.7561873098061219,0.5238852787071331,0.23230203109898884
degree_strength_cosine,1,class505-coffeepot-sample01-src01487,505,1,0.7384207664532836,0.48891321854874226,0.24950754790454133
degree_strength_cosine,1,class505-coffeepot-sample02-src02782,505,2,0.7193767641595731,0.4717078153260699,0.24766894883350316
degree_strength_cosine,1,class505-coffeepot-sample03-src05563,505,3,0.6558146403342644,0.5140861361991497,0.14172850413511473
degree_strength_cosine,1,class505-coffeepot-sample04-src05824,505,4,0.7343094643773006,0.4995401602514725,0.23476930412582808
degree_strength_cosine,1,class817-sports_car-sample00-src00019,817,0,0.6689233189616641,0.3515965925243581,0.31732672643730603
degree_strength_cosine,1,class817-sports_car-sample01-src00787,817,1,0.5370955602984262,0.5915014998440014,-0.054405939545575155
degree_strength_cosine,1,class817-sports_car-sample02-src02853,817,2,0.5995472865235317,0.2738625218923563,0.3256847646311754
degree_strength_cosine,1,class817-sports_car-sample03-src04513,817,3,0.6414872278179398,0.5288679799675091,0.11261924785043065
degree_strength_cosine,1,class817-sports_car-sample04-src04549,817,4,0.6758995613030759,0.5493776707979069,0.12652189050516904
degree_strength_cosine,1,class980-volcano-sample00-src00002,980,0,0.6203588685812155,0.5218506768100576,0.09850819177115788
degree_strength_cosine,1,class980-volcano-sample01-src00863,980,1,0.6332914967051174,0.5585196812771045,0.07477181542801292
degree_strength_cosine,1,class980-volcano-sample02-src01265,980,2,0.6202273262661602,0.5077322196848428,0.11249510658131734
degree_strength_cosine,1,class980-volcano-sample03-src01422,980,3,0.6697389687246186,0.5803359312345369,0.08940303749008172
degree_strength_cosine,1,class980-volcano-sample04-src01813,980,4,0.01072479570222015,0.16007262899905125,-0.1493478332968311
spectral_similarity,1,class091-coucal-sample00-src00000,91,0,0.8551531537374648,0.8794117971055713,-0.02425864336810646
spectral_similarity,1,class091-coucal-sample01-src00316,91,1,0.8190450986086817,0.8338997091663172,-0.014854610557635484
spectral_similarity,1,class091-coucal-sample02-src01583,91,2,0.8643763622242725,0.9008234714159598,-0.036447109191687255
spectral_similarity,1,class091-coucal-sample03-src01629,91,3,0.8276312625710384,0.8508182087285109,-0.02318694615747252
spectral_similarity,1,class091-coucal-sample04-src03448,91,4,0.8320309232225358,0.8609350025540043,-0.028904079331468546
spectral_similarity,1,class171-Italian_greyhound-sample00-src00001,171,0,0.8649498832822597,0.8177646452787061,0.047185238003553676
spectral_similarity,1,class171-Italian_greyhound-sample01-src02164,171,1,0.8947991917626323,0.8502424712013129,0.04455672056131943
spectral_similarity,1,class171-Italian_greyhound-sample02-src02599,171,2,0.8974393869299886,0.8917122356448033,0.005727151285185306
spectral_similarity,1,class171-Italian_greyhound-sample03-src02775,171,3,0.8207715026832093,0.8786037065562835,-0.057832203873074195
spectral_similarity,1,class171-Italian_greyhound-sample04-src03793,171,4,0.9032580192867042,0.8716447654611091,0.0316132538255951
spectral_similarity,1,class505-coffeepot-sample00-src00013,505,0,0.9098076762223827,0.8876834595556801,0.022124216666702612
spectral_similarity,1,class505-coffeepot-sample01-src01487,505,1,0.9279206485465799,0.8800046575544244,0.04791599099215549
spectral_similarity,1,class505-coffeepot-sample02-src02782,505,2,0.9405904895325649,0.8863964172042668,0.05419407232829809
spectral_similarity,1,class505-coffeepot-sample03-src05563,505,3,0.9319608902883999,0.8756794968571462,0.05628139343125371
spectral_similarity,1,class505-coffeepot-sample04-src05824,505,4,0.9096918116140359,0.8742115079484719,0.035480303665563984
spectral_similarity,1,class817-sports_car-sample00-src00019,817,0,0.8076299907242811,0.8102078095721993,-0.0025778188479181896
spectral_similarity,1,class817-sports_car-sample01-src00787,817,1,0.8398333732919592,0.9105147135953443,-0.07068134030338513
spectral_similarity,1,class817-sports_car-sample02-src02853,817,2,0.8015518185154435,0.7989238440922698,0.002627974423173751
spectral_similarity,1,class817-sports_car-sample03-src04513,817,3,0.8345523427106576,0.9015529746013685,-0.06700063189071093
spectral_similarity,1,class817-sports_car-sample04-src04549,817,4,0.7639052957166845,0.8106767214620854,-0.04677142574540083
spectral_similarity,1,class980-volcano-sample00-src00002,980,0,0.9249360428767702,0.8766651294615944,0.048270913415175865
spectral_similarity,1,class980-volcano-sample01-src00863,980,1,0.8920497501748302,0.8654603924912341,0.02658935768359616
spectral_similarity,1,class980-volcano-sample02-src01265,980,2,0.928665574112775,0.879125180381372,0.049540393731402954
spectral_similarity,1,class980-volcano-sample03-src01422,980,3,0.8996364618848536,0.8469421869498172,0.05269427493503642
spectral_similarity,1,class980-volcano-sample04-src01813,980,4,0.9065276764718562,0.8981440833330513,0.008383593138804879
weighted_jaccard,5,class091-coucal-sample00-src00000,91,0,0.1316250594816278,0.05218731734060287,0.07943774214102495
weighted_jaccard,5,class091-coucal-sample01-src00316,91,1,0.09129505164891588,0.058573159843841906,0.032721891805073976
