method,tick,same_mean,same_median,same_std,same_n,different_mean,different_median,different_std,different_n,same_minus_different
dynamic_trajectory,15,0.9370542638659333,0.9368964725328581,0.04417413877122,50,0.9062039617472073,0.9100361388901661,0.061981620099956246,250,0.03085030211872597
community_nmi,20,0.31343142525294443,0.3024156176030317,0.11017102864775373,50,0.21323828567296982,0.20824109177046574,0.06369985897944667,250,0.10019313957997461
community_ari,20,0.3314379803897205,0.3043521663128421,0.14039351574604123,50,0.2164764620374101,0.20207532412482904,0.08350757074367389,250,0.11496151835231039
delta_con,20,0.05503289959952173,0.054900781984617814,0.002647461619104884,50,0.05127921200855746,0.05119493589820416,0.0022616987779555497,250,0.003753687590964269
delta_con_attr,20,0.8451303036566713,0.8477129613422869,0.016710864283869965,50,0.834461301513922,0.8346766081378009,0.016574649202353586,250,0.010669002142749351
ged_approx,20,0.36150123865466194,0.36848300516454335,0.06742348323232353,50,0.22040028724873176,0.22364303762370824,0.059642175597751,250,0.14110095140593018
wl_kernel,20,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,20,0.8517193418485921,0.8719607528497648,0.06752479982424649,50,0.8223009288888209,0.8428511024624059,0.07966276730281417,250,0.029418412959771212
dynamic_trajectory,20,0.9303333162348671,0.9336305125113276,0.04043857508165562,50,0.920711521616714,0.9238279813256906,0.05176820184019847,250,0.009621794618153157
community_nmi,30,0.2897015703335446,0.28529293262788546,0.06971490133457395,50,0.2056128824048306,0.2022215456505731,0.0627239472227417,250,0.08408868792871399
community_ari,30,0.2765047756819752,0.2769735223410033,0.08721896529689192,50,0.17094147807225846,0.1700747656097299,0.06585629879743307,250,0.10556329760971672
delta_con,30,0.05515895966509851,0.05470812543000792,0.002811428962548528,50,0.05164799811130162,0.05160700076654118,0.0025673902426391086,250,0.0035109615537968902
delta_con_attr,30,0.8389316326917166,0.8388077272294411,0.01588548931805947,50,0.8323611080417992,0.8319008574580744,0.016828276813571966,250,0.006570524649917364
ged_approx,30,0.42272522321725015,0.4195407590618139,0.07214743146675702,50,0.2834270551962244,0.2869738463759086,0.057868303001879805,250,0.13929816802102574
wl_kernel,30,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,30,0.8625561479419005,0.8794943075957607,0.06978846650056754,50,0.8277842082635599,0.8441471583511395,0.07871427083602431,250,0.03477193967834058
dynamic_trajectory,30,0.9110505405360664,0.9178490819123833,0.062262636498000644,50,0.9107319204567053,0.9193637232566608,0.06325246339901758,250,0.00031862007936112047
community_nmi,40,0.27525261400739875,0.26812862610344845,0.0661396501666352,50,0.21240334136223277,0.20717869092920238,0.06347584895051384,250,0.06284927264516599
community_ari,40,0.2626756721925909,0.2521194579964806,0.08509162880818555,50,0.17844124948525752,0.16716949044161028,0.07003101486356993,250,0.08423442270733339
delta_con,40,0.054705536408917545,0.05480224072658495,0.0029621697379955568,50,0.0513100474332778,0.05126333196970577,0.0024853809530623367,250,0.0033954889756397447
delta_con_attr,40,0.8367535640048517,0.8361281780676828,0.018942079556531908,50,0.8332070546619115,0.8335031962791525,0.0185064708686287,250,0.0035465093429402073
ged_approx,40,0.4455649550329974,0.4415222727239601,0.06776364326404012,50,0.31542305787156694,0.31641452504629647,0.05555816563194184,250,0.1301418971614305
wl_kernel,40,0.0,0.0,0.0,50,0.0,0.0,0.0,250,0.0
gw_approx,40,0.8708854242042083,0.8946596491768288,0.07677375837199364,50,0.8347761005736676,0.8547099717595312,0.08289347997766411,250,0.03610932363054076
