method,tick,sample_id,label,class_sample_index,same_mean,different_mean,same_minus_different
gw_approx,1,class171-Italian_greyhound-sample03-src02775,171,3,0.7767179927169141,0.8339930728120739,-0.0572750800951598
gw_approx,1,class171-Italian_greyhound-sample04-src03793,171,4,0.8571557992085426,0.8397919910159342,0.01736380819260841
gw_approx,1,class505-coffeepot-sample00-src00013,505,0,0.8596367017810831,0.8546188228286932,0.00501787895238992
gw_approx,1,class505-coffeepot-sample01-src01487,505,1,0.852564226657769,0.8302622728633182,0.02230195379445077
gw_approx,1,class505-coffeepot-sample02-src02782,505,2,0.8771965690541162,0.8485085969351663,0.02868797211894991
gw_approx,1,class505-coffeepot-sample03-src05563,505,3,0.8551439375796841,0.8179996904516372,0.03714424712804687
gw_approx,1,class505-coffeepot-sample04-src05824,505,4,0.8500577659072905,0.8334923633641033,0.01656540254318728
gw_approx,1,class817-sports_car-sample00-src00019,817,0,0.7790780985337074,0.786480744292068,-0.007402645758360693
gw_approx,1,class817-sports_car-sample01-src00787,817,1,0.8010910381093216,0.8631733392140424,-0.062082301104720794
gw_approx,1,class817-sports_car-sample02-src02853,817,2,0.7673540489433567,0.7661092562088011,0.0012447927345555776
gw_approx,1,class817-sports_car-sample03-src04513,817,3,0.7975400526011017,0.8527175043166431,-0.05517745171554134
gw_approx,1,class817-sports_car-sample04-src04549,817,4,0.7386447682078562,0.771202954692639,-0.032558186484782814
gw_approx,1,class980-volcano-sample00-src00002,980,0,0.8629805590950045,0.854780222360005,0.008200336734999536
gw_approx,1,class980-volcano-sample01-src00863,980,1,0.8430736460656468,0.8021952855861638,0.04087836047948301
gw_approx,1,class980-volcano-sample02-src01265,980,2,0.8525187074331304,0.8149566478843606,0.03756205954876979
gw_approx,1,class980-volcano-sample03-src01422,980,3,0.8661364006392186,0.8114691792446761,0.0546672213945425
gw_approx,1,class980-volcano-sample04-src01813,980,4,0.83471123426172,0.8600042580327516,-0.025293023771031597
dynamic_trajectory,1,class091-coucal-sample00-src00000,91,0,0.0,0.0,0.0
dynamic_trajectory,1,class091-coucal-sample01-src00316,91,1,0.0,0.0,0.0
